idCustomer,idRating,dateObtained
489,IFR,2021-08-16 11:53:08
88,IFR,2021-04-19 15:44:39
216,IFR,2021-06-02 23:12:09
421,ASES,2021-03-19 07:49:48
401,HP,2021-07-21 12:58:26
404,AMEL,2021-09-29 12:42:25
134,ASES,2021-04-14 05:55:16
154,ASES,2021-05-12 05:26:43
285,ASES,2021-10-22 09:01:43
263,ASES,2021-10-27 22:28:34
429,AMEL,2021-09-03 08:27:40
307,HP,2021-08-18 02:35:16
172,ASES,2021-04-30 13:36:10
392,AMES,2021-07-19 09:32:43
109,AMEL,2021-07-14 15:53:19
484,ASES,2021-06-20 02:50:46
152,AMES,2021-04-16 13:48:59
271,AMEL,2021-09-23 19:49:09
405,HP,2021-07-14 12:11:55
320,IFR,2021-03-11 16:46:07
145,HP,2021-07-16 09:13:34
139,AMEL,2021-10-07 00:34:25
421,HP,2021-11-02 10:07:50
177,IFR,2021-09-09 12:18:10
255,AMEL,2021-05-06 15:46:25
386,IFR,2021-08-08 19:22:59
302,IFR,2021-04-10 13:27:08
117,ASES,2021-07-05 06:50:52
136,ASES,2021-05-28 11:50:56
202,HP,2021-04-12 05:07:00
196,HP,2021-04-02 17:10:35
188,ASES,2021-08-09 11:13:00
331,AMEL,2021-03-10 08:22:11
500,HP,2021-04-10 00:16:52
447,HP,2021-09-05 14:21:56
140,ASES,2021-09-08 23:36:58
99,HP,2021-03-06 20:25:12
283,AMES,2021-05-19 09:43:28
304,IFR,2021-04-07 05:21:09
56,ASES,2021-08-16 09:50:13
447,IFR,2021-09-19 21:25:32
184,HP,2021-09-23 12:36:11
307,AMES,2021-03-07 13:18:30
72,ASES,2021-10-04 15:23:34
244,HP,2021-03-13 17:27:37
35,ASES,2021-10-20 14:18:11
203,AMEL,2021-09-18 21:26:37
81,HP,2021-03-04 06:00:01
304,ASES,2021-08-18 12:35:21
482,HP,2021-07-04 19:31:26
480,IFR,2021-05-24 20:32:58
243,ASES,2021-03-20 23:35:57
86,IFR,2021-10-25 19:15:48
141,HP,2021-07-24 20:30:29
281,HP,2021-06-17 23:14:17
360,IFR,2021-04-11 23:45:12
